端,路由,功能域,是否核心业务流程,核心判断依据,token 采用度,@yimatong/design-tokens import 次数,theme.css / design-tokens/theme 引入次数,var(--ymt-* 出现次数,硬编码数量,菜单层级
admin,/settings/roles,设置,否,后台辅助/配置/数据看板,未接入,0,0,0,0,二级（设置）
admin,/settings/tenant,设置,否,后台辅助/配置/数据看板,未接入,0,0,0,0,二级（设置）
admin,/skus/[id],商品,是,商品/SKU/品牌是码生成的前置数据,未接入,0,0,0,0,二级（商品目录）
admin,/skus,商品,是,商品/SKU/品牌是码生成的前置数据,未接入,0,0,0,0,二级（商品目录）
admin,/stats,数据,否,后台辅助/配置/数据看板,未接入,0,0,0,0,一级（统计）
admin,/store-portal,渠道,是,渠道与活动投放、码归属直接相关,未接入,0,0,0,0,一级（门店门户）
admin,/page-preview,页面引擎,是,页面引擎承载扫码后消费者落地页,未接入,0,0,0,37,N/A
admin,/,首页,否,后台辅助/配置/数据看板,部分,1,1,13,2,一级（首页看板）
h5,/c/[publicId],扫码 H5,是,H5 为消费者主链路入口,未接入,0,0,0,0,N/A
h5,/,首页,否,后台辅助/配置/数据看板,已接入,1,1,2,0,N/A
h5,/preview,页面引擎,是,H5 为消费者主链路入口,未接入,0,0,0,0,N/A
h5,/redpacket/result,红包,是,H5 为消费者主链路入口,未接入,0,0,0,0,N/A
platform,/login,认证,否,后台辅助/配置/数据看板,未接入,0,0,0,4,N/A
platform,/analytics,数据分析,否,后台辅助/配置/数据看板,未接入,0,0,0,9,N/A
platform,/audit-logs,审计日志,否,后台辅助/配置/数据看板,未接入,0,0,0,0,N/A
platform,/health,客户健康度,否,后台辅助/配置/数据看板,未接入,0,0,0,7,N/A
platform,/,首页,否,后台辅助/配置/数据看板,未接入,0,0,0,9,N/A
platform,/plans,套餐管理,否,后台辅助/配置/数据看板,未接入,0,0,0,7,N/A
platform,/providers,服务商管理,否,后台辅助/配置/数据看板,未接入,0,0,0,0,N/A
platform,/quota,额度监控,否,后台辅助/配置/数据看板,未接入,0,0,0,0,N/A
platform,/settings,系统配置,否,后台辅助/配置/数据看板,未接入,0,0,0,2,N/A
platform,/tenants/[id],租户管理,否,后台辅助/配置/数据看板,未接入,0,0,0,0,N/A
platform,/tenants,租户管理,否,后台辅助/配置/数据看板,未接入,0,0,0,0,N/A
